"","NPK1","NPK2","NPK3","NPK4","NPK5","NPK6","NPKM1","NPKM2","NPKM3","NPKM4","NPKM5","NPKM6"
"s__Glomus_Yamato12_Glo2",1,0,1,1,0,1,1,1,1,1,1,1
"s__Glomus_cf._clarum",1,1,1,1,1,0,0,0,1,0,0,1
"s__Glomus_Glo7",1,1,1,1,1,1,1,1,1,1,1,1
"s__Glomus_Kawahara__amp_amp__Ezawa13_Glo13",0,1,0,1,0,1,1,1,1,0,1,1
"s__Glomus_An08_GLO1-1",1,1,1,1,1,1,1,1,1,1,1,1
"s__Glomus_Li2010b_Glo1",1,1,0,1,1,1,1,1,1,1,1,1
"s__Glomus_mosseae",0,0,0,1,0,0,1,1,1,0,1,1
"s__Glomus_Glo2",0,1,1,1,1,1,1,1,1,1,1,1
"s__unidentified",1,1,1,1,1,1,0,0,1,0,0,0
"s__Glomus_Wang11_Glo10",0,1,0,1,1,1,1,1,1,0,1,1
"s__Glomus_deserticola",1,0,0,1,0,0,1,1,1,1,1,1
"s__Glomus_An08_GLO5",1,1,1,1,1,1,1,1,1,1,1,1
"s__Glomus_fasciculatum",1,1,0,1,1,1,1,1,1,1,1,1
"s__Septoglomus_viscosum",0,0,0,1,1,1,1,1,1,1,1,1
"s__Glomus_XIng2012_Glomus_Ab7",1,1,1,1,1,1,1,1,1,1,0,1
"s__Glomus_Kawahara__amp_amp__Ezawa13_Glo3",1,1,1,1,1,1,1,1,1,1,1,1
"s__Glomus_Glo10",1,1,1,1,1,1,1,1,1,0,1,1
"s__Glomus_Guo12_UnGlom_Bb",1,1,0,1,1,1,1,1,1,1,1,1
"s__Rhizophagus_arabicus",1,0,0,1,1,1,1,1,1,1,1,1
"s__Septoglomus_jasnowskae",1,0,0,1,1,1,1,1,1,1,1,1
"s__Glomus_Gollotte04_sp._5",1,1,1,1,1,1,1,1,1,1,1,1
"s__Glomus_An08_GLO2",1,1,0,1,1,1,1,0,1,1,0,1
"s__Glomus_sp.",1,1,1,1,1,1,1,1,1,1,1,1
"s__Glomus_Torrecillas12a_Glomus_G6",1,0,1,1,1,1,1,1,1,1,1,1
