Treatment,Flavitalea,Filimonas,Nordella,Kaistia,Aurantisolimonas,Plectosphaerella,Coprinopsis,Melanocarpus,Ascodesmis,Fusicolla,Glomus_sp.,Polymyxa,Teretomonas,Alaimus,Aporcelaimellus
NPK1,0,0,0,0,0,0,1.932098,0,0.136697,1.0932465,3.935895851,0,13.48991821,0,0
NPK2,0,0,0,0,0,0,1.896636,0,0.299409,3.2925085,7.687697855,0,4.922873608,0,0
NPK3,0,0,0,0,0,0.128656,4.317903,0,1.10513172,2.1340695,0.10230751,0,11.60955052,0,0
NPK4,0,0,0.87528,0,0,0,5.134318,0,1.26255756,4.7976145,1.093458189,0,5.501313448,0,0
NPK5,0,0,0,0,0,0.346841,5.665075,0,1.04052354,2.385354,12.61162199,0,14.56222297,0,0
NPK6,0,0,1.218438,0,0,0.246433,12.168054,0,0.89440931,2.602925,0.60087975,0,23.10999068,0,0
NPKM1,15.808386,10.498347,67.06589,19.390766,8.893523,1.619653,253.774115,0.958308,31.65878715,27.9605625,27.15145271,116.5898266,76.42002812,26.2156521,39.57
NPKM2,13.026257,6.295263,56.006223,11.9396239,9.7682985,3.557313,209.195196,2.827692,28.56274815,23.3272665,38.79664006,707.7776085,136.0105218,25.61217394,23.29
NPKM3,36.271811,7.905532,80.447802,7.9055313,19.5261785,3.510735,402.936211,1.315144,62.99436906,22.3252795,24.04927675,129.6912857,145.600342,12.15521726,39.635
NPKM4,22.691996,9.159081,95.230394,16.6154654,15.2356105,4.957444,424.856252,2.461701,51.696613,42.0474715,15.75645202,217.910602,183.5438259,4.12,0
NPKM5,29.367359,14.530054,76.042705,12.2142264,29.2137135,15.359846,478.893514,9.788873,46.76896078,61.1894765,23.77634804,326.6520554,254.4463183,27.23391307,47.255
NPKM6,31.575133,9.117427,94.282744,13.7881061,17.3444445,3.874836,457.791755,1.006054,100.060287,30.7241845,19.54969229,318.5666074,140.7583327,35.78739121,25.645
