"","Flavitalea","Filimonas","Nordella","Kaistia","Aurantisolimonas","Plectosphaerella","Coprinopsis","Melanocarpus","Ascodesmis","Fusicolla","Glomus_sp.","Polymyxa","Teretomonas","Alaimus","Aporcelaimellus"
"HN_abundance",0.000640370421076349,6.52025710705065e-05,1.23692043290448e-05,1.05513605423499e-05,0.00168313248993117,0.0460340705058634,0.000175530185414022,0.0813440670923336,0.00196778371940204,0.00100811656087591,0.00078433429273591,0.0147624243645672,0.00133779636375513,0.00221166864317643,0.00544020736956647
"HN_diversity",0.000352686476526704,0.000487549537572936,9.5297485847749e-06,0.000319274837162979,0.00137488823796696,0.0424359016685019,6.42581039450809e-05,0.0973364923102041,0.000437369062537959,0.00198290909173374,0.00530071983938343,0.015175710609723,0.00044525971657094,0.00594501414277886,0.023741034210053
"Helicotylenchus",0.0376487373902652,0.0154402837305108,0.0178734649954285,0.0104874634374824,0.0470662317720677,0.16442207031159,0.0307499529305562,0.201839709354977,0.0583280293520344,0.0473050658227185,0.00160104690405475,0.0643798293062726,0.0455697425484228,0.0223999152623086,0.0326334315659745
"Pratylenchus",0.210135678779771,0.245895588986811,0.107535537075386,0.124425367002774,0.332045060145203,0.700112801346116,0.166466836645576,0.836875200960086,0.177819075249063,0.236890191716093,0.565959637405921,0.568913510504885,0.324182580350947,0.539573194306179,0.666265956757621
"Paratylenchus",0.0426260673963311,0.0344324864746041,0.0263878309576556,0.0283479193560723,0.0637601284150593,0.216458120339896,0.0417523757419139,0.272067622917883,0.0642644648851885,0.069963223407547,0.0445177409605797,0.0657222975623532,0.0560293051621591,0.0390363080963016,0.04164019273046
"Coslenchus",0.00620798468171053,0.000491868273372409,0.00215641075695676,0.00169688142451697,0.00284750969748005,0.0166316598372524,0.00280049672650335,0.0243808778378555,0.026725679260471,0.00201618331727906,0.00145334900819855,0.0202571755428844,0.00179991193697842,0.00869452941114613,0.00562941111590831
"Tylenchus",0.000763902471685807,0.000289780134313867,7.50288136139525e-05,0.000290246665921192,0.00176245167375027,0.0439352187305854,0.000328266425606728,0.0766475378475194,0.00283541543747884,0.0020571104929027,0.0111406895554517,0.0155430408649301,0.00113044213776421,0.00386423217644295,0.00604690101662667
"Malenchus",0.0143536566879102,0.00564830437599964,0.00486577322752024,0.00523672055767814,0.0169596647679402,0.0752103771081526,0.00712686904172842,0.130345359459328,0.0204729269863837,0.0157458722671209,0.0115625704601154,0.0748029690113592,0.0102977330598367,0.0228407930867769,0.0394273479597545
"Basiria",0.00619513198920941,0.00410778778955871,0.00214595326587968,0.00437445610215008,0.00975503451922028,0.078268321059835,0.00399499589255281,0.12248176405313,0.0123571555539881,0.0108160893659403,0.0461023740086181,0.0385608969490061,0.0075168494718267,0.0169737872949489,0.0227295751511915
"Boleodorus",0.0728932181681148,0.0570028028833062,0.0448220005085224,0.0349555980202057,0.113944322816463,0.328855538191061,0.0737236976174592,0.393323772093648,0.0556183804963533,0.113897535609057,0.00893174939578667,0.0524056650009192,0.140951306878702,0.0150768742182029,0.0575468122131325
"Aglenchus",0.0497242380646943,0.0346647708301113,0.0219662742547436,0.0196531431220747,0.0750893621767706,0.252791644558501,0.0374305489937386,0.330636846160214,0.0485981181379191,0.0583345666269568,0.0570852419807928,0.149746170715058,0.0868472813984616,0.066703727855085,0.117142192741128
"Rotylenchus",0.0930054925437545,0.0935605104293073,0.084749057958971,0.120711809917112,0.107928372327343,0.259354704871795,0.0889530060021503,0.313523987025052,0.124649229113532,0.122780072409091,0.538956853273964,0.307223735124781,0.126393088146778,0.168334220478957,0.149546276178801
"Macroposthonia",0.224108912156645,0.282239054903234,0.192138168286332,0.256687041387039,0.290729209353514,0.527428955482625,0.220983366322498,0.625447094249315,0.229885998943776,0.319328523174279,0.125544139609105,0.43365101276971,0.298000795855899,0.396470367436156,0.451577896248221
"Nagelus",0.0582969876708226,0.0211403926466562,0.0236910549005328,0.0108836682311841,0.0674937271435454,0.174422053731018,0.0399652395751765,0.225038493170049,0.0480729340681117,0.0565168227296867,0.00286796900637724,0.0352151709511398,0.0545866593647511,0.00827794953659855,0.0448859857508771
"Hirschmanniella",0.177462324964507,0.237948303472202,0.139423560989168,0.193067160123585,0.261379772662836,0.56525835777369,0.178557782283172,0.650180306670506,0.179683115169579,0.298344320933227,0.352427098424542,0.328356229058118,0.24742228582904,0.297503314245414,0.360275245103705
